,marca,preço,link
425,"NOTEBOOK LENOVO THINKPAD E14 INTEL CORE I5-1135G7, 8GB RAM, SSD 256GB, 14 FULL HD, IRIS XE, WINDOWS 11 PRO, PRETO - 20TB002HBO","R$ 5.599,99",https://www.kabum.com.br//produto/399825/notebook-lenovo-thinkpad-e14-intel-core-i5-1135g7-8gb-ram-ssd-256gb-14-full-hd-iris-xe-windows-11-pro-preto-20tb002hbo
426,"NOTEBOOK DELL I15-I1100, I7 1165G7, RAM 16GB, SSD 1TB, TELA 15.6 FULL HD, INTEL IRIS XE, WIN 11","R$ 7.029,49",https://www.kabum.com.br//produto/416873/notebook-dell-i15-i1100-i7-1165g7-ram-16gb-ssd-1tb-tela-15-6-full-hd-intel-iris-xe-win-11
427,FONTE CARREGADOR PARA ACER ASPIRE 3 A315-21 A315-21-95KF 479 - VOLTAGEM DE ENTRADA,"R$ 78,99",https://www.kabum.com.br//produto/241070/fonte-carregador-para-acer-aspire-3-a315-21-a315-21-95kf-479-voltagem-de-entrada
428,"NOTEBOOK GAMER GIGABYTE AERO 16 INTEL CORE I7-12700H, 16GB RAM, 1TB SSD, 16 4K UHD OLED, GEFORCE RTX 3060, WINDOWS 11 PRO, PRATA - KE5-72BR934HP","R$ 12.999,99",https://www.kabum.com.br//produto/420218/notebook-gamer-gigabyte-aero-16-intel-core-i7-12700h-16gb-ram-1tb-ssd-16-4k-uhd-oled-geforce-rtx-3060-windows-11-pro-prata-ke5-72br934hp
429,"NOTEBOOK GAMER GIGABYTE AERO 5 INTEL CORE I7-12700H, 16GB RAM, SSD 1TB, 15.6 4K UHD OLED,  GEFORCE RTX 3060 P, WINDOWS 11 PRO, PRETO - KE4-72BR614SH","R$ 12.999,99",https://www.kabum.com.br//produto/420219/notebook-gamer-gigabyte-aero-5-intel-core-i7-12700h-16gb-ram-ssd-1tb-15-6-4k-uhd-oled-geforce-rtx-3060-p-windows-11-pro-preto-ke4-72br614sh
430,"NOTEBOOK GAMER GIGABYTE AORUS 5 INTEL CORE I5-12700H, 16GB RAM, SSD 1TB, 15.6 FULL HD, GEFORCE RTX3060 P, WINDOWS 11 HOME,  PRETO - KE4-72BR314SH","R$ 9.999,99",https://www.kabum.com.br//produto/420222/notebook-gamer-gigabyte-aorus-5-intel-core-i5-12700h-16gb-ram-ssd-1tb-15-6-full-hd-geforce-rtx3060-p-windows-11-home-preto-ke4-72br314sh
431,"NOTEBOOK GAMER GIGABYTE G5 INTEL CORE I5-11400H, 16GB RAM, SSD 512GB, 15.6 FULL HD, GEFORCE RTX3060 P,  WINDOWS 11, PRETO - KD-52BR123SD","R$ 7.799,99",https://www.kabum.com.br//produto/420223/notebook-gamer-gigabyte-g5-intel-core-i5-11400h-16gb-ram-ssd-512gb-15-6-full-hd-geforce-rtx3060-p-windows-11-preto-kd-52br123sd
432,"NOTEBOOK LENOVO IDEAPAD FLEX 5I INTEL CORE I7-1255U, 8GB RAM, SSD 256GB, 14 FULL HD, IRIS XE GRAPHICS, WINDOWS 11, TOUCHSCREEN, CINZA - 82TA0001BR","R$ 5.829,99",https://www.kabum.com.br//produto/435939/notebook-lenovo-ideapad-flex-5i-intel-core-i7-1255u-8gb-ram-ssd-256gb-14-full-hd-iris-xe-graphics-windows-11-touchscreen-cinza-82ta0001br
433,FONTE CARREGADOR PARA POSITIVO UNIQUE S990 S2065 S1990 394 - PRETO - 110V/220V (BIVOLT),"R$ 76,77",https://www.kabum.com.br//produto/297635/fonte-carregador-para-positivo-unique-s990-s2065-s1990-394-preto-110v-220v-bivolt-
434,"NOTEBOOK HP, HPCM 250 G8 I5-1035G1, 8GB, 256GB, W10P - 3G5A2LA#AK4","R$ 4.157,00",https://www.kabum.com.br//produto/317032/notebook-hp-hpcm-250-g8-i5-1035g1-8gb-256gb-w10p-3g5a2la-ak4
